date,open,high,low,close,volume,amount
2020-01-07,1866.261,1893.214,1866.261,1893.214,11771646416,22286245797821.023
2020-01-08,1881.009,1892.577,1858.284,1862.699,12425264099,23144527011943.203
2020-01-09,1884.422,1913.783,1884.422,1913.142,11103994125,21243517528290.75
2020-01-10,1917.612,1917.828,1894.67,1904.194,10190987858,19405617933276.453
2020-01-13,1905.399,1935.072,1893.566,1935.072,9700828468,18771801545229.695
2020-01-14,1941.124,1945.767,1922.131,1922.557,10455905211,20102073754744.527
2020-01-15,1920.661,1928.69,1902.608,1924.238,9626213296,18523125420268.45
2020-01-16,1924.519,1936.035,1917.564,1929.961,9078990185,17522096976432.785
2020-01-17,1935.296,1949.044,1928.351,1932.511,8789198254,16985222307035.793
2020-01-20,1940.122,1982.176,1935.83,1982.176,9612978296,19054614866852.094
2020-01-21,1979.373,1987.662,1959.442,1967.027,9777104772,19231829068352.844
2020-01-22,1958.08,2004.393,1928.028,1993.899,10492075263,20920138374820.438
2020-01-23,1973.331,1996.552,1904.275,1927.742,11576635669,22316766797829.4
2020-02-03,1769.164,1830.808,1769.164,1795.774,5501617633,9879661903282.941
2020-02-04,1786.16,1886.804,1786.16,1882.691,13787985855,25958516877335.805
2020-02-05,1908.974,1966.26,1901.796,1939.62,12839284462,24903332928184.438
2020-02-06,1934.98,2014.885,1918.661,2012.249,13985924805,28143163202936.445
2020-02-07,2014.157,2025.319,1976.787,2015.799,15057002115,30351889806414.883
2020-02-10,2019.314,2043.679,2007.225,2042.177,14085019352,28764102565209.3
2020-02-11,2044.218,2046.812,2015.761,2028.444,11469417603,23265071320299.73
2020-02-12,2024.379,2086.943,2022.676,2085.278,12514158067,26095498505637.625
2020-02-13,2080.819,2093.368,2052.569,2064.596,13245466820,27346537814704.72
2020-02-14,2063.306,2104.007,2049.257,2069.219,12046586428,24927025521959.734
2020-02-17,2089.214,2146.177,2089.214,2146.177,13728826512,29464491697044.625
2020-02-18,2149.298,2170.949,2134.342,2170.949,15198730841,32995669520538.11
2020-02-19,2168.846,2171.955,2137.413,2139.437,15337470200,32813551232277.4
2020-02-20,2151.42,2190.499,2140.055,2186.737,14995919094,32792131131856.277
2020-02-21,2191.984,2247.417,2189.25,2226.639,17155438296,38198967971967.15
2020-02-24,2223.19,2271.704,2213.822,2263.972,17437982861,39479104933783.9
2020-02-25,2218.326,2293.463,2171.679,2287.312,20387817369,46633299321922.125
2020-02-26,2248.653,2263.074,2173.204,2180.701,18170014351,39623368465240.055
2020-02-27,2200.381,2233.763,2163.884,2196.714,15100950639,33172469682000.246
2020-02-28,2114.319,2155.968,2068.93,2071.566,16364094636,33899302068719.973
2020-03-02,2110.448,2153.217,2082.969,2135.415,13558175795,28952331965279.926
2020-03-03,2190.498,2238.735,2151.523,2173.346,16493678245,35846469639057.77
2020-03-04,2159.858,2180.425,2122.454,2169.443,13689465383,29698514848891.67
2020-03-05,2206.082,2216.825,2176.49,2209.588,15372243908,33966325672189.906
2020-03-06,2178.5,2220.364,2175.014,2192.936,13265570626,29090547386297.938
2020-03-09,2151.27,2163.728,2091.855,2093.063,14729176637,30829094639369.133
2020-03-10,2083.197,2151.45,2052.055,2148.81,14643594625,31466302566146.25
2020-03-11,2157.931,2162.604,2100.507,2101.463,13820195548,29042629596886.727
